EDAD_VICTIMA,FECHA,FECHA_AA,FECHA_DD,FECHA_DECESO,FECHA_MM,ID,ROL_VICTIMA,SEXO_VICTIMA,VH_VICTIMA
35,26/12/2016,2016,26,SD,12,2016-0173,CONDUCTOR,MASCULINO,MOTO
SD,27/12/2016,2016,27,SD,12,2016-0174,SD,SD,SD
SD,27/12/2016,2016,27,SD,12,2016-0175,PEATON,FEMENINO,PEATON
28,28/12/2016,2016,28,SD,12,2016-0176,CONDUCTOR,MASCULINO,MOTO
27,29/12/2016,2016,29,SD,12,2016-0177,PEATON,FEMENINO,PEATON
7,30/12/2016,2016,30,SD,12,2016-0178,PEATON,FEMENINO,PEATON
18,2/1/2017,2017,2,2/1/2017,1,2017-0001,CONDUCTOR,MASCULINO,MOTO
33,5/1/2017,2017,5,5/1/2017,1,2017-0003,PASAJERO_ACOMPAÑANTE,MASCULINO,CARGAS
48,11/1/2017,2017,11,11/1/2017,1,2017-0007,PEATON,MASCULINO,PEATON
29,16/1/2017,2017,16,16/1/2017,1,2017-0008,CONDUCTOR,MASCULINO,MOTO
36,16/1/2017,2017,16,16/1/2017,1,2017-0009,CONDUCTOR,MASCULINO,MOTO
23,16/1/2017,2017,16,16/1/2017,1,2017-0010,CONDUCTOR,MASCULINO,MOTO
29,22/1/2017,2017,22,22/1/2017,1,2017-0011,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
30,24/1/2017,2017,24,24/1/2017,1,2017-0012,CONDUCTOR,MASCULINO,MOTO
4,27/1/2017,2017,27,27/1/2017,1,2017-0013,PEATON,MASCULINO,PEATON
22,28/1/2017,2017,28,28/1/2017,1,2017-0014,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
82,2/2/2017,2017,2,21/2/2017,2,2017-0015,PEATON,MASCULINO,PEATON
27,3/2/2017,2017,3,4/2/2017,2,2017-0016,CONDUCTOR,MASCULINO,MOTO
32,6/2/2017,2017,6,6/2/2017,2,2017-0017,CONDUCTOR,MASCULINO,MOTO
30,9/2/2017,2017,9,9/2/2017,2,2017-0018,CONDUCTOR,MASCULINO,MOTO
